Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",C1206,2,100nF,C13585
C2,C1206,1,330nF,C192444
C3,C1206,1,CS3216X5R226K160NRI,C513771
C4,C1206,1,CS3216X5R106K500NRI,C513774
C6,C1206,1,CL31B105KBHNNNE,C1848
C7,C0805,1,CC0805KRX7R9BB104,C49678
C8,C0805,1,CS2012X7R105K500NRE,C516002
"D2, D5",SMA_L4.4-W2.8-LS5.4-RD,2,SS520_C466507,C466507
D3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
D4,SOD-123_L2.8-W1.8-LS3.7-RD,1,SMF3.3A,C283866
"J1, J2, J3, J4, J5, J6",CONN-TH_2P-P5.00_CPC3703CTR,6,Screw_Terminal_01x02,C3703
J10,CONN-TH_2P-P5.00_CPC3703CTR,1,Entrada 12v,C3703
J11,CONN-TH_5P-P3.81_KF124-3.81-5P,1,Encoder,C72336
J12,CONN-TH_2P-P5.00_CPC3703CTR,1,PB1 (OK),C3703
J13,CONN-TH_2P-P5.00_CPC3703CTR,1,PB2 (RETURN),C3703
J14,CONN-TH_4P-P3.81_KF124-3.81-4P,1,Sensor de humedad,C69809
J7,CONN-TH_3P-P5.00_WJ128V-5.0-3P,1,Sensor de flujo,C8270
J8,CONN-TH_2P-P5.00_CPC3703CTR,1,Dispensador de nutrientes,C3703
J9,CONN-TH_4P-P3.81_KF124-3.81-4P,1,LCD,C69809
"LED3, LED4",LED0805-RD_RED,2,XL-2012SURC,C965812
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,7,AO3400_C4748804,C4748804
"R10, R17, R18, R19, R20, R22, R23, R24, R25, R8, R9",R1206,11,10k,C132649
"R11, R12, R13, R14, R15, R16, R21",R1206,7,RC1206FR-07150RL,C137387
"R2, R7",R0805,2,RC0805FR-0775RL,C141697
"R3, R4",R1206,2,FRC1206F33R0TS,C2907384
"R5, R6",R1206,2,1206W4F5101T5E,C26033
SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,SKRPACE010,C139797
U1,TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW,1,L7805ABD2T-TR,C86206
U2,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
U3,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16),C2913199
USB1,USB-C-SMD_TYPE-C-31-M-13,1,TYPE-C-31-M-13,C223906
