Designator,Mid X,Mid Y,Rotation,Layer
C1,104.201,-66.802,0.0,top
C2,104.079,-55.626,0.0,top
C3,93.792,-55.499,0.0,top
C4,93.835,-65.913,180.0,top
C5,62.103,-70.038,270.0,top
C6,84.528,-60.452,270.0,top
C7,50.8,-60.9092,0.0,bottom
C8,50.8508,-58.7248,0.0,bottom
D2,113.919,-68.453,180.0,top
D3,58.42,-69.596,270.0,top
D4,93.726,-68.834,0.0,top
D5,49.4,-78.0,90.0,top
J1,82.9,-40.6,0.0,top
J10,71.4,-40.6,0.0,top
J11,92.456,-77.851,180.0,top
J12,139.2,-76.287,270.0,top
J13,139.2,-64.73,270.0,top
J14,110.622,-77.978,270.0,top
J2,94.4,-40.6,0.0,top
J3,105.9,-40.6,0.0,top
J4,117.4,-40.6,0.0,top
J5,128.9,-40.6,0.0,top
J6,139.2,-41.8,270.0,top
J7,74.469,-76.327,0.0,top
J8,139.192,-53.34,270.0,top
J9,126.6,-77.978,270.0,top
LED3,124.714,-58.674,90.0,top
LED4,49.53,-41.275,90.0,top
Q1,83.0,-48.8,0.0,top
Q2,94.8,-49.0,0.0,top
Q3,106.2,-48.6,0.0,top
Q4,118.2,-48.8,0.0,top
Q5,129.0,-48.8,0.0,top
Q6,130.8,-56.8,90.0,top
Q7,130.6,-67.8,90.0,top
R10,130.8,-53.4,180.0,top
R11,121.6,-49.0,90.0,top
R12,132.4,-49.0,90.0,top
R13,130.8,-60.6,0.0,top
R14,90.6,-49.0,90.0,top
R15,109.8,-49.0,90.0,top
R16,79.0,-49.0,90.0,top
R17,130.8,-64.2,180.0,top
R18,86.6,-49.0,270.0,top
R19,98.2,-49.0,270.0,top
R2,124.714,-53.721,90.0,top
R20,102.0,-49.0,270.0,top
R21,130.8,-71.2,0.0,top
R22,124.714,-69.508,270.0,top
R23,124.587,-63.837,270.0,top
R24,70.485,-48.939,90.0,top
R25,74.041,-48.939,90.0,top
R3,49.84,-69.85,270.0,top
R4,53.34,-69.85,270.0,top
R5,69.977,-68.028,270.0,top
R6,74.168,-68.116,270.0,top
R7,63.754,-41.148,270.0,top
R8,114.0,-49.0,270.0,top
R9,125.2,-49.0,270.0,top
SW1,78.486,-60.325,270.0,top
U1,109.425,-61.2,0.0,top
U2,93.835,-60.706,0.0,top
U3,57.404,-55.258,90.0,top
USB1,58.2,-76.9875,0.0,top
